cell,cell_lat,cell_lon,total_events,dom_vehicle,dom_junction,cell_junction_share,cell_sev_mean,cell_veh_mean,cell_impact_sum,train_events,dom_police_station,pred_daily_viol,actual_daily_viol,pred_total,peak_block,peak_block_label,mean_impact_per_viol,epi_raw,EPI,zone_id
147_200,12.921005941176471,77.60059375588236,34,SCOOTER,BTP128 - Gorappanapalya Junction,1.0,0.6588235294117647,0.7294117647058824,21.5748,10,Mico Layout,0.09154685761524206,0.6153846153846154,3.5703274469944404,0,Late Night (00-04),0.635,0.05813225458567871,1.6,190
147_213,12.920967202084677,77.62045828674835,21,CAR,BTP137 - Madiwala Traffic PS Junction,1.0,0.7333333333333334,1.0380952380952382,22.8618,13,Madiwala,0.1404927142671115,0.20512820512820512,5.479215856417349,0,Late Night (00-04),1.089,0.1529965658368844,4.1,20
147_230,12.921409291666668,77.64510429583333,24,CAR,No Junction,0.0,0.6166666666666666,0.9833333333333334,16.83,18,HSR Layout,0.16203931487613668,0.15384615384615385,6.319533280169329,1,Early Morning (04-08),0.701,0.11358955972817181,3.1,191
147_243,12.920879606779549,77.66537542210892,166,SCOOTER,No Junction,0.0,0.6933734939759035,0.8036144578313253,102.726,135,Bellandur,1.2548432571469925,0.7948717948717948,48.93888702873271,2,Morning Peak (08-12),0.619,0.7767479761739884,16.6,192
147_244,12.921294205263159,77.66681738421052,38,CAR,No Junction,0.0,0.6921052631578947,1.0184210526315791,20.4,21,Bellandur,0.17990452446656996,0.4358974358974359,7.016276454196229,0,Late Night (00-04),0.537,0.09660872963854808,2.7,193
148_187,12.922481320338983,77.58075944576271,59,SCOOTER,"BTP190 - 36th Cross, 4th Main, Jayanagar",1.0,0.628813559322034,0.6067796610169491,26.325,39,Jayanagara,0.3962570282984252,0.5128205128205128,15.454024103638583,1,Early Morning (04-08),0.446,0.17673063462109764,4.7,21
148_190,12.922856165517242,77.58574934827585,29,CAR,"BTP226 - 33rd Cross, 11th Main, Jayanagar",1.0,0.7724137931034483,0.9448275862068966,31.9644,12,Jayanagara,0.11024515561086595,0.4358974358974359,4.299561068823772,3,Afternoon (12-16),1.102,0.12149016148317429,3.3,22
148_206,12.922585559999998,77.61022971999999,20,MAXI-CAB,No Junction,0.0,0.925,0.9799999999999999,19.584,13,Mico Layout,0.17465071342225166,0.1794871794871795,6.811377823467815,2,Morning Peak (08-12),0.979,0.17098304844038437,4.6,24
148_212,12.922958753682279,77.61903882739131,23,SCOOTER,BTP137 - Madiwala Traffic PS Junction,1.0,0.6173913043478261,0.7478260869565218,15.7872,21,Madiwala,0.2218768368757547,0.05128205128205128,8.653196638154434,2,Morning Peak (08-12),0.686,0.15220751009676775,4.1,25
148_214,12.922462093436245,77.62239369150619,26,SCOOTER,BTP137 - Madiwala Traffic PS Junction,1.0,0.6384615384615384,0.6499999999999999,8.9154,3,Madiwala,0.040573253297414555,0.5897435897435898,1.5823568785991675,1,Early Morning (04-08),0.343,0.013916625881013193,0.4,194
148_215,12.922621311764706,77.62277640980392,51,SCOOTER,BTP137 - Madiwala Traffic PS Junction,1.0,0.6058823529411764,0.6941176470588235,17.1288,5,Madiwala,0.07671728424643263,1.1794871794871795,2.991974085610873,0,Late Night (00-04),0.336,0.025777007506801366,0.7,195
