rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
161,236,1,12.955800318518518,77.54623805,54,0.17,1.066,Byatarayanapura,0.18122000000000002,3.0
162,350,1,13.045440996666667,77.50638495666666,60,0.3,0.602,Peenya,0.18059999999999998,3.0
163,152,1,12.896655029850745,77.72010435820896,67,0.27,0.659,Whitefield,0.17793000000000003,2.9
164,305,1,12.999193050793652,77.6878505968254,63,0.25,0.708,Mahadevapura,0.177,2.9
165,200,1,12.931780511252606,77.51554253495173,63,0.21,0.83,Kengeri,0.17429999999999998,2.9
166,361,1,13.050181921818181,77.49448386,55,0.29,0.592,Chikkabanavara,0.17167999999999997,2.8
167,147,1,12.894566434246576,77.5990577890411,73,0.37,0.461,J.P. Nagar,0.17057,2.8
168,382,1,13.07136248478261,77.63371348695652,46,0.23,0.732,Hennuru,0.16836,2.8
169,151,1,12.89670911884058,77.71994146231884,69,0.28,0.601,Whitefield,0.16828,2.8
170,330,1,13.016091745283019,77.54991893396227,53,0.23,0.724,Rajajinagar,0.16652,2.8
171,141,1,12.881818561333333,77.5958709,75,0.29,0.547,J.P. Nagar,0.15863,2.6
172,139,1,12.875866833333335,77.67128366666667,42,0.22,0.719,Electronic City,0.15818,2.6
173,317,1,13.006515390243901,77.59303741463415,41,0.25,0.627,R.T. Nagar,0.15675,2.6
174,244,1,12.95934360914248,77.65622118759863,54,0.22,0.698,Jeevanbheemanagar,0.15356,2.6
175,282,1,12.985397724193549,77.59432454193548,62,0.24,0.638,Cubbon Park,0.15312,2.6
176,56,4,12.96112310782609,77.56131444347825,115,0.18,0.828,Chamarajpet,0.14903999999999998,2.5
177,148,1,12.894441525531915,77.65727344468085,47,0.23,0.621,HSR Layout,0.14283,2.4
178,232,1,12.951656763265305,77.60791184489797,49,0.15,0.935,Ashok Nagar,0.14025,2.4
179,216,1,12.942107087719299,77.6221013982456,57,0.27,0.508,Adugodi,0.13716,2.3
180,34,3,12.933080517333332,77.623105704,75,0.21,0.651,Adugodi,0.13671,2.3
181,137,1,12.875980095214596,77.54406662956704,38,0.17,0.788,Thalagattapura,0.13396000000000002,2.3
182,178,1,12.912007879661017,77.6516397762712,59,0.26,0.513,HSR Layout,0.13338,2.3
183,384,1,13.08170637653808,77.54823985096871,38,0.18,0.734,Yelahanka,0.13212,2.2
184,258,1,12.97402045490196,77.50906616078431,51,0.26,0.508,Jnanabharathi,0.13208,2.2
185,374,1,13.059754739274377,77.57673154858861,51,0.18,0.732,Kodigehalli,0.13176,2.2
186,395,1,13.122144163157895,77.61099963947369,38,0.2,0.656,Yelahanka,0.1312,2.2
187,188,1,12.920014745454546,77.61036006363636,44,0.17,0.771,Mico Layout,0.13107000000000002,2.2
188,184,1,12.916497252459017,77.63823500163934,61,0.27,0.485,HSR Layout,0.13095,2.2
189,262,1,12.97612748611111,77.53170672499999,36,0.16,0.814,Vijayanagara,0.13024,2.2
190,366,1,13.051347223255815,77.5523616627907,43,0.18,0.723,Jalahalli,0.13013999999999998,2.2
191,346,1,13.035750444736841,77.73546707631579,38,0.16,0.802,K.R. Pura,0.12832000000000002,2.2
192,173,1,12.911007412745098,77.5733689990196,102,0.22,0.567,J.P. Nagar,0.12473999999999999,2.1
193,211,1,12.938060121951219,77.74670455121951,41,0.16,0.771,Whitefield,0.12336000000000001,2.1
194,239,1,12.955735807142858,77.718302425,28,0.15,0.822,Whitefield,0.12329999999999999,2.1
195,145,1,12.883505015541335,77.75225740940857,35,0.14,0.872,No Police Station,0.12208000000000001,2.1
196,274,1,12.983833396746416,77.52893896962463,47,0.23,0.528,Kamakshipalya,0.12144,2.1
197,177,1,12.91195961923077,77.64453426410257,78,0.18,0.668,HSR Layout,0.12024,2.0
198,347,1,13.038250913636364,77.56621795,22,0.13,0.911,Kodigehalli,0.11843000000000001,2.0
199,285,1,12.985389867164178,77.74589471343285,67,0.15,0.789,Whitefield,0.11835,2.0
200,383,1,13.07231728918919,77.63374235675676,37,0.18,0.655,Hennuru,0.1179,2.0
201,316,1,13.005307123684211,77.59343520526315,38,0.16,0.731,R.T. Nagar,0.11696,2.0
202,90,3,13.0003456010989,77.59617949120879,91,0.19,0.614,R.T. Nagar,0.11666,2.0
203,243,1,12.959279242047034,77.65488534566414,22,0.15,0.776,Jeevanbheemanagar,0.1164,2.0
204,133,1,12.862518054545456,77.53025338181818,33,0.16,0.727,Thalagattapura,0.11631999999999999,2.0
205,390,1,13.099261231034482,77.57695220344827,58,0.21,0.553,Yelahanka,0.11613000000000001,2.0
206,254,1,12.970280192615414,77.61016451575888,60,0.17,0.674,Ashok Nagar,0.11458000000000002,2.0
207,130,1,12.85498282195122,77.66492144878049,41,0.15,0.763,Electronic City,0.11445,1.9
208,162,1,12.905941329824563,77.54232324736843,57,0.2,0.568,K.S. Layout,0.11359999999999999,1.9
209,186,1,12.918252652380954,77.65173679285715,42,0.2,0.566,HSR Layout,0.1132,1.9
210,153,1,12.900264413333334,77.58586421111112,45,0.21,0.537,J.P. Nagar,0.11277000000000001,1.9
211,401,1,12.8357544,77.67909956896553,29,0.18,0.619,Electronic City,0.11141999999999999,1.9
212,268,1,12.980088681355932,77.65210075593221,59,0.19,0.58,Banaswadi,0.11019999999999999,1.9
213,253,1,12.971222497222222,77.50736695,36,0.14,0.786,Jnanabharathi,0.11004000000000001,1.9
214,398,1,13.14435543611111,77.61785086527777,72,0.25,0.419,Chikkajala,0.10475,1.8
215,167,1,12.907843337290936,77.53284678322579,51,0.2,0.523,K.S. Layout,0.10460000000000001,1.8
216,400,1,13.244964273770492,77.71301133934425,61,0.15,0.69,Devanahalli Airport,0.1035,1.8
217,376,1,13.060461274275802,77.57639986553566,35,0.16,0.646,Kodigehalli,0.10336000000000001,1.8
218,175,1,12.910339481578948,77.68576335526316,38,0.17,0.607,Bellandur,0.10319,1.8
219,171,1,12.911153971037068,77.4802799408272,30,0.13,0.789,Kengeri,0.10257000000000001,1.8
220,307,1,13.0005700125,77.614655425,32,0.17,0.603,Pulikeshinagar(F.Town),0.10251,1.8
221,134,1,12.871740748275862,77.53899599655172,29,0.12,0.842,Thalagattapura,0.10103999999999999,1.7
222,164,1,12.906384637499999,77.590502425,24,0.12,0.841,J.P. Nagar,0.10092,1.7
223,292,1,12.990221340909091,77.50460535681817,44,0.15,0.668,Kamakshipalya,0.1002,1.7
224,348,1,13.041630818367349,77.51444509183673,49,0.16,0.625,Peenya,0.1,1.7
225,281,1,12.9854917,77.5937691,37,0.12,0.83,Cubbon Park,0.0996,1.7
226,385,1,13.083624686206896,77.63697624482758,29,0.16,0.617,Hennuru,0.09872,1.7
227,275,1,12.984359965,77.582567165,20,0.08,1.21,High ground,0.0968,1.7
228,283,1,12.985501883333333,77.70827799666667,30,0.08,1.2,Mahadevapura,0.096,1.6
229,326,1,13.012815269387755,77.62629988571427,49,0.2,0.48,Banaswadi,0.096,1.6
230,235,1,12.955514882142856,77.54563634642857,28,0.08,1.198,Byatarayanapura,0.09584,1.6
231,231,1,12.951518001923079,77.60729361538462,52,0.11,0.87,Ashok Nagar,0.0957,1.6
232,380,1,13.06813081111111,77.62938534074074,27,0.13,0.735,Hennuru,0.09555,1.6
233,224,1,12.948705905,77.53588875,20,0.11,0.861,Byatarayanapura,0.09471,1.6
234,263,1,12.976273760714287,77.59930059821428,56,0.15,0.626,Cubbon Park,0.0939,1.6
235,260,1,12.973184377272728,77.60033377272727,22,0.14,0.665,Cubbon Park,0.09310000000000002,1.6
236,312,1,13.002336780518165,77.75719764617676,44,0.12,0.768,Mahadevapura,0.09215999999999999,1.6
237,344,1,13.03529535652174,77.56754698695653,23,0.12,0.761,Sadashivanagar,0.09132,1.6
238,247,1,12.96050174,77.60164583555556,45,0.14,0.652,Ashok Nagar,0.09128000000000001,1.6
239,252,1,12.967362563636364,77.60843699090908,22,0.13,0.694,Ashok Nagar,0.09022,1.6
240,259,1,12.974070182978723,77.56625808723403,47,0.14,0.64,Magadi Road,0.08960000000000001,1.5
241,336,1,13.02173996,77.551669005,20,0.11,0.802,Yeshwanthpura,0.08822,1.5
242,335,1,13.021151318181818,77.5284693590909,22,0.11,0.798,Yeshwanthpura,0.08778000000000001,1.5
243,333,1,13.020196583870968,77.5377643,31,0.11,0.788,Rajajinagar,0.08668000000000001,1.5
